Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
318,ESICGranada,,3,47,50,3,47,50,12,0.177226,0.203669,336856.267608,0
319,MarciaaFranco,,2,6,8,2,6,8,1,1,1,693.559524,3
320,EUErasmusPlus,,20,126,146,20,126,146,1,1,1,19213.63254,1
321,EurodeskPACA,,4,45,49,4,45,49,1,1,1,5160.528896,1
322,doYouEvenExist_,,3,51,54,3,51,54,1,1,1,6959.718986,8
323,ESNAureCamerino,,8,26,34,8,26,34,1,1,1,2272.631999,3
324,Maria9Guerrero,,2,54,56,2,54,56,1,1,1,5883.224861,6
325,EstefaniaColor,,1,183,184,1,183,184,1,1,1,8146.847898,1
326,LuxySan,,0,1,1,0,1,1,1,1,1,0,1
327,MiradorTemple,,2,76,78,2,76,78,1,1,1,7214.573327,6
328,locubinemprende,,1,35,36,1,35,36,1,1,1,3003.410714,6
329,Parlare_es,,1,8,9,1,8,9,2,0.535714,0.566667,4688.95202,1
330,avanessasstw,,2,4,6,2,4,6,1,1,1,244.764286,1
331,ESN_Montpellier,,7,2,9,7,2,9,1,1,1,133.166667,1
332,FontecruzGR,,2,11,13,2,11,13,1,1,1,973.554884,0
333,Silia_X,,2,51,53,2,51,53,1,1,1,5710.17841,2
334,ESNHungary,,5,1,6,5,1,6,1,1,1,0,1
335,ESN_Braganca,,8,4,12,8,4,12,1,1,1,387.397619,1
336,ComunidadUGR,,2,41,43,2,41,43,2,0.632258,0.709184,6862.510024,6
337,SerraGianLuigi,,1,1,2,1,1,2,1,1,1,0,1
338,AntonioSorroche,,2,21,23,2,21,23,1,1,1,1836.761905,0
339,Fucky4,,2,190,192,2,190,192,2,0.854478,0.914847,23111.666313,5
340,jetmal85,,0,2,2,0,2,2,1,1,1,0,3
341,dejame_s,,3,1,4,3,1,4,1,1,1,0,1
342,Zayoser,,1,25,26,1,25,26,1,1,1,1273.613095,6
343,GroupingHotels,,1,174,175,1,174,175,1,1,1,14500.761652,7
344,ESNportugal,,13,1,14,13,1,14,1,1,1,0,1
345,MustafaAy9,,3,20,23,3,20,23,1,1,1,1694.777381,2
346,ESN_Serbia,,7,13,20,7,13,20,1,1,1,1212.135084,1
347,francescoiaconi,,1,39,40,1,39,40,1,1,1,2702.783899,3
348,Worldcallerapp,,1,40,41,1,40,41,1,1,1,2690.623341,4
349,Suppachekka,,0,1,1,0,1,1,1,1,1,0,1
350,Sally_Faro,,2,90,92,2,90,92,1,1,1,9505.604479,7
351,EGTheSeries,,4,30,34,4,30,34,1,1,1,4029.775153,7
352,NoodleRest,,3,140,143,3,140,143,3,0.590164,0.680556,21135.009144,0
353,esn_uludag,,8,1,9,8,1,9,1,1,1,0,1
354,TorinoErasmus,,3,125,128,3,125,128,13,0.138975,0.153329,34945.78722,0
355,elenitacabrerac,,3,1,4,3,1,4,1,1,1,0,6
356,Eurosender,,5,22,27,5,22,27,2,0.594828,0.65942,5168.39246,1
